"member_id","tree_id","full_name","gender","birth_date","death_date","biography","father_member_id","mother_member_id","generation"
"186214","13","胡平","M","1018-05-15","1068-05-28","家族始祖","","","1"
"186215","13","胡梅","F","1017-04-11","1094-02-14","始祖配偶","","","1"
"186216","13","胡欣","F","1055-05-08","1134-05-16","平民","186214","186215","2"
"186217","13","胡云","F","1041-07-17","1041-09-11","平民","186214","186215","2"
"186218","13","胡杰","M","1060-04-04","1102-09-01","平民","186214","186215","2"
"186219","13","胡健","M","1041-03-05","1111-08-05","平民","186214","186215","2"
"186220","13","胡建","M","1045-07-05","1127-04-11","平民","186214","186215","2"
"186221","13","胡桂珍","F","1040-08-03","1129-04-24","平民","186214","186215","2"
"186222","13","胡利","M","1050-06-16","1139-12-11","平民","186214","186215","2"
"186223","13","胡云","F","1050-03-31","1052-07-26","平民","186214","186215","2"
"186224","13","胡凤英","F","1060-04-03","1123-04-06","平民","186214","186215","2"
"186225","13","胡丽华","F","1048-07-11","1133-04-02","平民","186214","186215","2"
"186226","13","胡秀兰","F","1053-08-14","","姻亲·配偶","","","2"
"186227","13","胡艳","F","1038-11-03","","姻亲·配偶","","","2"
"186228","13","胡丽丽","F","1040-11-14","","姻亲·配偶","","","2"
"186229","13","胡海燕","F","1052-06-18","","姻亲·配偶","","","2"
"186230","13","胡健","M","1060-10-05","","姻亲·配偶","","","2"
"186231","13","胡晨","M","1031-08-25","","姻亲·配偶","","","2"
"186232","13","胡斌","M","1036-08-03","","姻亲·配偶","","","2"
"186233","13","胡彬","M","1046-05-09","","姻亲·配偶","","","2"
"186234","13","胡建","M","1068-04-26","","姻亲·配偶","","","2"
"186235","13","胡旭","M","1048-02-17","","姻亲·配偶","","","2"
"186236","13","胡琳","F","1089-12-06","1147-01-23","平民","186218","186224","3"
"186237","13","胡瑜","F","1104-11-05","1176-02-23","平民","186218","186224","3"
"186238","13","胡欢","M","1101-06-08","1164-09-18","平民","186218","186224","3"
"186239","13","胡玉兰","F","1091-09-04","1162-10-06","平民","186218","186224","3"
"186240","13","胡畅","F","1089-12-14","1155-10-10","平民","186218","186224","3"
"186241","13","胡建华","M","1101-12-06","1185-01-14","平民","186218","186228","3"
"186242","13","胡成","M","1086-04-15","1150-08-24","平民","186218","186228","3"
"186243","13","胡健","M","1081-08-04","1170-10-26","平民","186218","186228","3"
"186244","13","胡红霞","M","1086-12-31","1175-11-30","平民","186218","186228","3"
"186245","13","胡帆","M","1091-07-08","1167-05-04","平民","186218","186228","3"
"186246","13","胡明","M","1092-02-23","1093-03-22","平民","186218","186217","3"
"186247","13","胡丹","F","1098-05-30","1155-03-31","平民","186218","186217","3"
"186248","13","胡利","M","1093-03-26","1169-05-11","平民","186218","186217","3"
"186249","13","胡凤英","F","1082-11-29","1154-06-16","平民","186219","186229","3"
"186250","13","胡桂芝","F","1066-07-11","1111-01-22","平民","186219","186229","3"
"186251","13","胡丽华","F","1078-02-04","1167-05-29","平民","186219","186229","3"
"186252","13","胡波","M","1065-10-10","1067-02-03","平民","186219","186229","3"
"186253","13","胡丽华","F","1072-10-14","1131-08-23","平民","186219","186229","3"
"186254","13","胡红霞","M","1079-11-25","1126-01-31","平民","186219","186225","3"
"186255","13","胡琳","F","1086-02-19","1136-06-29","平民","186219","186225","3"
"186256","13","胡丽娟","F","1077-11-24","1121-08-16","平民","186219","186225","3"
"186257","13","胡勇","M","1066-12-11","1153-11-10","平民","186219","186225","3"
"186258","13","胡桂芳","F","1080-01-15","1128-03-13","平民","186219","186225","3"
"186259","13","胡秀荣","F","1070-01-26","1070-03-26","平民","186219","186221","3"
"186260","13","胡波","M","1061-05-20","1127-11-29","平民","186219","186221","3"
"186261","13","胡林","M","1084-08-26","1163-08-22","平民","186219","186221","3"
"186262","13","胡博","M","1083-09-11","1130-11-10","平民","186220","186226","3"
"186263","13","胡飞","M","1085-05-16","1173-07-05","平民","186220","186226","3"
"186264","13","胡芳","F","1080-03-19","1166-11-13","平民","186220","186226","3"
"186265","13","胡文","M","1086-04-01","1169-07-10","平民","186220","186226","3"
"186266","13","胡飞","M","1090-06-22","1140-08-17","平民","186220","186226","3"
"186267","13","胡建军","M","1080-06-18","1155-06-11","平民","186220","186227","3"
"186268","13","胡文","M","1079-06-06","1152-07-27","平民","186220","186227","3"
"186269","13","胡凯","M","1073-07-10","1160-05-23","平民","186220","186227","3"
"186270","13","胡欣","F","1085-11-15","1133-09-11","平民","186220","186227","3"
"186271","13","胡荣","F","1090-03-18","1092-04-08","平民","186220","186227","3"
"186272","13","胡林","M","1083-03-21","1124-12-25","平民","186220","186216","3"
"186273","13","胡静","F","1089-11-22","1168-09-21","平民","186220","186216","3"
"186274","13","胡欢","M","1077-12-28","1149-11-22","平民","186222","186223","3"
"186275","13","胡宇","M","1085-05-31","1144-06-13","平民","186222","186223","3"
"186276","13","胡宁","M","1080-05-22","1140-02-02","平民","186222","186223","3"
"186277","13","胡桂芳","F","1071-07-28","1141-11-17","平民","186222","186223","3"
"186278","13","胡波","M","1083-03-26","1163-01-13","平民","186222","186223","3"
"186279","13","胡晨","M","1082-02-22","1144-05-21","平民","186222","186217","3"
"186280","13","胡伟","M","1091-08-15","1144-05-08","平民","186222","186217","3"
"186281","13","胡峰","M","1090-12-19","1171-12-26","平民","186222","186221","3"
"186282","13","胡杰","M","1084-05-22","1157-03-25","平民","186222","186221","3"
"186283","13","胡强","M","1092-03-25","1154-12-25","平民","186222","186216","3"
"186284","13","胡秀云","F","1073-02-23","1145-04-02","平民","186222","186216","3"
"186285","13","胡志强","M","1080-07-26","1123-11-18","平民","186222","186216","3"
"186286","13","胡丽","F","1102-06-20","","姻亲·配偶","","","3"
"186287","13","胡淑珍","F","1104-06-23","","姻亲·配偶","","","3"
"186288","13","胡英","F","1077-12-28","","姻亲·配偶","","","3"
"186289","13","胡琳","F","1090-12-13","","姻亲·配偶","","","3"
"186290","13","胡萍","F","1081-04-24","","姻亲·配偶","","","3"
"186291","13","胡柳","F","1091-05-30","","姻亲·配偶","","","3"
"186292","13","胡云","F","1100-08-30","","姻亲·配偶","","","3"
"186293","13","胡静","F","1061-12-11","","姻亲·配偶","","","3"
"186294","13","胡红","F","1070-04-29","","姻亲·配偶","","","3"
"186295","13","胡丹丹","F","1068-06-17","","姻亲·配偶","","","3"
"186296","13","胡婷婷","F","1052-02-25","","姻亲·配偶","","","3"
"186297","13","胡丽华","F","1093-05-19","","姻亲·配偶","","","3"
"186298","13","胡秀芳","F","1076-01-16","","姻亲·配偶","","","3"
"186299","13","胡玉兰","F","1092-12-08","","姻亲·配偶","","","3"
"186300","13","胡淑华","F","1082-08-30","","姻亲·配偶","","","3"
"186301","13","胡梅","F","1070-02-15","","姻亲·配偶","","","3"
"186302","13","胡瑜","F","1068-02-14","","姻亲·配偶","","","3"
"186303","13","胡桂芝","F","1087-11-04","","姻亲·配偶","","","3"
"186304","13","胡琳","F","1082-05-12","","姻亲·配偶","","","3"
"186305","13","胡洁","F","1076-03-11","","姻亲·配偶","","","3"
"186306","13","胡丹","F","1089-12-20","","姻亲·配偶","","","3"
"186307","13","胡淑华","F","1075-04-11","","姻亲·配偶","","","3"
"186308","13","胡欣","F","1084-09-18","","姻亲·配偶","","","3"
"186309","13","胡璐","F","1087-10-20","","姻亲·配偶","","","3"
"186310","13","胡柳","F","1086-06-19","","姻亲·配偶","","","3"
"186311","13","胡丽丽","F","1089-03-31","","姻亲·配偶","","","3"
"186312","13","胡建","M","1097-04-14","","姻亲·配偶","","","3"
"186313","13","胡鑫","M","1103-07-31","","姻亲·配偶","","","3"
"186314","13","胡志强","M","1087-03-04","","姻亲·配偶","","","3"
"186315","13","胡文","M","1083-03-12","","姻亲·配偶","","","3"
"186316","13","胡刚","M","1101-10-06","","姻亲·配偶","","","3"
"186317","13","胡洋","M","1078-11-22","","姻亲·配偶","","","3"
"186318","13","胡彬","M","1071-08-26","","姻亲·配偶","","","3"
"186319","13","胡博","M","1075-09-18","","姻亲·配偶","","","3"
"186320","13","胡俊","M","1065-10-03","","姻亲·配偶","","","3"
"186321","13","胡刚","M","1093-11-14","","姻亲·配偶","","","3"
"186322","13","胡鑫","M","1088-12-07","","姻亲·配偶","","","3"
"186323","13","胡磊","M","1075-06-02","","姻亲·配偶","","","3"
"186324","13","胡彬","M","1078-03-09","","姻亲·配偶","","","3"
"186325","13","胡利","M","1089-11-25","","姻亲·配偶","","","3"
"186326","13","胡帆","M","1099-04-18","","姻亲·配偶","","","3"
